x y
198.965286892478 405.7539494757639
1009.7182070858534 1099.9942773556766
892.5613538076391 1310.0089094319205
294.9420430978093 1195.318195511147
302.3705811858102 1191.7917906929313
1411.2394135470433 1016.459951705416
512.0451320517027 509.0187300271871
890.2274218803835 1301.1963183066482
1405.8482025936903 980.0046947490562
497.083968741733 485.2658830795774
497.9968916676847 496.9626289916333
905.926929374964 1316.2243067006175
493.5654184437859 517.9875929767895
899.7261568546432 1289.4648507896593
497.4893123434093 497.7771981812685
985.8212391562313 1101.1142257453616
299.78435500798025 1193.4187010281769
300.8992875874004 1192.7715321101482
507.4880998763463 496.54859706934093
613.2496773312533 692.7891015820959
1398.1932052827156 995.3294250093751
607.0069526835362 691.0047467431417
610.41521961376 708.4859495701457
1391.5436289562476 994.6465325321225
600.2170570865025 696.7861633457418
1005.945599383171 1101.685394336742
896.7039013456204 1299.1597282268633
210.72558438189608 398.7385285084345
195.8545999740027 398.9759134440429
1394.2839466203081 992.095560814561
310.1401983218991 1192.6712569879658
1007.3464427165751 1103.885765718524
985.7579450071761 1102.0756848802594
600.3237087595825 708.0973919190484
305.5759453032651 1197.423990190178
1409.0388563920767 1005.6401142138519
205.1235138995099 401.80280490443226
600.7430769242793 694.2730781378492
202.08525356346468 390.44247949962187
213.8284616110879 382.2150468471744
907.9171609523028 1311.384749085586
500.895900768569 501.3445797843774
1389.0204140821347 1005.0554155524771
291.6875067941456 1189.962721485435
503.1620564235826 494.09453050093384
502.0356854564347 490.2776754056679
602.4855622977996 692.4934078746238
611.8151789306547 692.9136828360438
1000.5406081415595 1091.4690439296812
196.09209807927508 387.9647551314391
286.0808231528147 1200.655331285168
909.8436976919895 1301.3313163982118
1408.4354258188562 1004.1567165415311
185.42734654959307 397.92479791069775
599.6209752410197 696.9668879014908
491.09167927614146 512.7188710746241
1410.925744907482 1004.030860298904
584.1952070841324 705.6909971282416
200.39977582412843 392.84316126062794
1397.64726131513 984.5445303690846
992.8764900910908 1092.1317657244144
903.8153210225342 1297.8041202603395
195.06001402206937 404.01958929572186
992.6839823223979 1125.904353123246
999.2741770395171 1096.9376080265529
900.4850194543194 1298.3136907222968
304.05555631197683 1205.66069960286
297.1393160973345 1199.2669568355645
981.6505963183114 1097.669907078946
907.7036773724576 1303.700579903538
